"","Name","Sex","Occurrence","Year","Prop"
"473","Tina","Female",244,1942,0.000180648141841367
"474","Jessica","Female",127,1942,9.40258771059575e-05
"475","Erica","Female",39,1942,2.88740882451366e-05
"476","Mary","Female",66176,1943,0.0474281332196174
"477","Sandra","Female",25990,1943,0.018626952103147
"478","Rita","Female",5011,1943,0.00359136810268833
"479","Pamela","Female",4839,1943,0.00346809623805804
"480","Angela","Female",933,1943,0.000668678195930595
"481","Tina","Female",360,1943,0.00025801087945875
"482","Monica","Female",299,1943,0.00021429236932824
"483","Jessica","Female",121,1943,8.67203233736356e-05
"484","Erica","Female",20,1943,1.43339377477084e-05
"485","Mary","Female",62472,1944,0.0470699924277529
"486","Sandra","Female",26023,1944,0.0196072226429026
"487","Pamela","Female",6204,1944,0.00467444988189555
"488","Rita","Female",4530,1944,0.00341316214780574
"489","Angela","Female",1008,1944,0.000759485087193861
"490","Tina","Female",359,1944,0.000270491216570036
"491","Monica","Female",342,1944,0.000257682440297917
"492","Jessica","Female",124,1944,9.34287210436892e-05
"493","Erica","Female",35,1944,2.63710099720091e-05
"494","Mary","Female",59281,1945,0.0453532798712258
"495","Sandra","Female",24700,1945,0.0188968811730449
"496","Pamela","Female",6169,1945,0.00471962995775361
"497","Rita","Female",4282,1945,0.00327596944060641
"498","Angela","Female",1057,1945,0.000808664105259453
"499","Tina","Female",440,1945,0.000336624603892298
"500","Monica","Female",400,1945,0.000306022367174817
"501","Jessica","Female",132,1945,0.00010098738116769
"502","Erica","Female",66,1945,5.04936905838448e-05
"503","Mary","Female",67467,1946,0.0429371404642152
"504","Sandra","Female",31694,1946,0.0201705979200622
"505","Pamela","Female",9367,1946,0.00596131730665813
"506","Rita","Female",5533,1946,0.00352129482841245
"507","Angela","Female",1280,1946,0.000814613659925526
"508","Tina","Female",478,1946,0.000304207288628439
"509","Monica","Female",457,1946,0.000290842533270286
"510","Jessica","Female",240,1946,0.000152740061236036
"511","Erica","Female",67,1946,4.26399337617268e-05
"512","Mary","Female",71689,1947,0.0404392705824882
"513","Sandra","Female",34779,1947,0.0196185940881914
"514","Pamela","Female",12398,1947,0.00699362631201005
"515","Rita","Female",5982,1947,0.00337440495228618
"516","Angela","Female",1648,1947,0.000929625436537551
